Arquivo,Deputado,Autor,Assunto,Data_Criacao,Data_Moficacao 
EMC 682-2017 PL678716 =- PL 6787-2016.pdf,Julio Lopes,Déurick Mota,,D:20170322121628-07'00',D:20170322121628-07'00'
EMC 683-2017 PL678716 =- PL 6787-2016.pdf,Julio Lopes,Celio,,D:20170322121636-07'00',D:20170322121636-07'00'
EMC 684-2017 PL678716 =- PL 6787-2016.pdf,Nelson Padovani,Dep. Nelson Padovani,,D:20170322122559-07'00',D:20170322122559-07'00'
EMC 685-2017 PL678716 =- PL 6787-2016.pdf,Aureo,Cleiton Paiva Cabral Reges,,D:20170322122608-07'00',D:20170322122608-07'00'
EMC 686-2017 PL678716 =- PL 6787-2016.pdf,Aureo,Cleiton Paiva Cabral Reges,,D:20170322122625-07'00',D:20170322122625-07'00'
EMC 687-2017 PL678716 =- PL 6787-2016.pdf,Aureo,Ronaldo Quintanilha da Silva,,D:20170322122634-07'00',D:20170322122634-07'00'
EMC 688-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Giovanna de Campos Belo,,D:20170322122735-07'00',D:20170322122735-07'00'
EMC 689-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Administrator,,D:20170322122743-07'00',D:20170322122743-07'00'
EMC 690-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Giovanna de Campos Belo,,D:20170322122751-07'00',D:20170322122751-07'00'
EMC 691-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Giovanna de Campos Belo,,D:20170322122837-07'00',D:20170322122837-07'00'
EMC 692-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Giovanna de Campos Belo,,D:20170322122846-07'00',D:20170322122846-07'00'
EMC 693-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Miralda da Conceição dos Santos,,D:20170322122854-07'00',D:20170322122854-07'00'
EMC 694-2017 PL678716 =- PL 6787-2016.pdf,Vitor Lippi,Giovanna de Campos Belo,,D:20170322122948-07'00',D:20170322122948-07'00'
EMC 695-2017 PL678716 =- PL 6787-2016.pdf,Domingos Sávio,Administrador,,D:20170322122956-07'00',D:20170322122956-07'00'
EMC 696-2017 PL678716 =- PL 6787-2016.pdf,Domingos Sávio,Administrador,,D:20170322123603-07'00',D:20170322123603-07'00'
EMC 697-2017 PL678716 =- PL 6787-2016.pdf,Domingos Sávio,Administrador,,D:20170322123611-07'00',D:20170322123611-07'00'
EMC 698-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322123725-07'00',D:20170322123725-07'00'
EMC 699-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322123733-07'00',D:20170322123733-07'00'
EMC 700-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322123834-07'00',D:20170322123834-07'00'
EMC 701-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124518-07'00',D:20170322124518-07'00'
EMC 702-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124527-07'00',D:20170322124527-07'00'
EMC 703-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124535-07'00',D:20170322124535-07'00'
EMC 704-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124544-07'00',D:20170322124544-07'00'
EMC 705-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124552-07'00',D:20170322124552-07'00'
EMC 706-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124600-07'00',D:20170322124600-07'00'
EMC 707-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322125940-07'00',D:20170322125940-07'00'
EMC 708-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124616-07'00',D:20170322124616-07'00'
EMC 709-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124624-07'00',D:20170322124624-07'00'
EMC 710-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124633-07'00',D:20170322124633-07'00'
EMC 711-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124727-07'00',D:20170322124727-07'00'
EMC 712-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124735-07'00',D:20170322124735-07'00'
EMC 713-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Estelita Gomes,,D:20170322124744-07'00',D:20170322124744-07'00'
EMC 714-2017 PL678716 =- PL 6787-2016.pdf,Nelson Marquezelli,Rafael da Silva Pinto,,D:20170322124752-07'00',D:20170322124752-07'00'
EMC 715-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322124830-07'00',D:20170322124830-07'00'
EMC 716-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322124839-07'00',D:20170322124839-07'00'
EMC 717-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322124847-07'00',D:20170322124847-07'00'
EMC 718-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322124855-07'00',D:20170322124855-07'00'
EMC 719-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322125639-07'00',D:20170322125639-07'00'
EMC 720-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322125706-07'00',D:20170322125706-07'00'
EMC 721-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322125714-07'00',D:20170322125714-07'00'
EMC 722-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,wlamir,,D:20170322125732-07'00',D:20170322125732-07'00'
EMC 723-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125740-07'00',D:20170322125740-07'00'
EMC 724-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125749-07'00',D:20170322125749-07'00'
EMC 725-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322130643-07'00',D:20170322130643-07'00'
EMC 726-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125830-07'00',D:20170322125830-07'00'
EMC 727-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125838-07'00',D:20170322125838-07'00'
EMC 728-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125847-07'00',D:20170322125847-07'00'
EMC 729-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125935-07'00',D:20170322125935-07'00'
EMC 730-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125944-07'00',D:20170322125944-07'00'
EMC 731-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322125953-07'00',D:20170322125953-07'00'
EMC 732-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322130002-07'00',D:20170322130002-07'00'
EMC 733-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322130011-07'00',D:20170322130011-07'00'
EMC 734-2017 PL678716 =- PL 6787-2016.pdf,Carlos Zarattini,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170322130652-07'00',D:20170322130652-07'00'
EMC 735-2017 PL678716 =- PL 6787-2016.pdf,Alfredo Kaefer,Solene Queila Dos Santos,,D:20170322130700-07'00',D:20170322130700-07'00'
EMC 736-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130709-07'00',D:20170322130709-07'00'
EMC 737-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130718-07'00',D:20170322130718-07'00'
EMC 738-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,MOD.CONLE.ST 2681/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170322130727-07'00',D:20170322130727-07'00'
EMC 739-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,MOD.CONLE.ST 2685/2017 - P_6736 - Davi Ribeiro de Oliveira Júnior,EMD ADI - Emenda Aditiva,D:20170322130735-07'00',D:20170322130735-07'00'
EMC 740-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,MOD.CONLE.ST 2683/2017 - P_6701 - Ângelo Azevedo Queiroz,EMD ADI - Emenda Aditiva,D:20170322130638-07'00',D:20170322130638-07'00'
EMC 741-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,MOD.CONLE.ST 2681/2017 - P_5658 - Maria Auxiliadora da Silva,EMD ADI - Emenda Aditiva,D:20170322130647-07'00',D:20170322130647-07'00'
EMC 742-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130656-07'00',D:20170322130656-07'00'
EMC 743-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130630-07'00',D:20170322130630-07'00'
EMC 744-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130705-07'00',D:20170322130705-07'00'
EMC 745-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130713-07'00',D:20170322130713-07'00'
EMC 746-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,MOD.CONLE.ST 2686/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170322130731-07'00',D:20170322130731-07'00'
EMC 747-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322130740-07'00',D:20170322130740-07'00'
EMC 748-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130748-07'00',D:20170322130748-07'00'
EMC 749-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130756-07'00',D:20170322130756-07'00'
EMC 750-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130805-07'00',D:20170322130805-07'00'
EMC 751-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322131550-07'00',D:20170322131550-07'00'
EMC 752-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130813-07'00',D:20170322130813-07'00'
EMC 753-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130821-07'00',D:20170322130821-07'00'
EMC 754-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130838-07'00',D:20170322130838-07'00'
EMC 755-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130846-07'00',D:20170322130846-07'00'
EMC 756-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130855-07'00',D:20170322130855-07'00'
EMC 757-2017 PL678716 =- PL 6787-2016.pdf,Evandro Roman,Izar,,D:20170322130911-07'00',D:20170322130911-07'00'
EMC 758-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,TST,,D:20170322130928-07'00',D:20170322130928-07'00'
EMC 759-2017 PL678716 =- PL 6787-2016.pdf,Mauro Lopes,Administrator,,D:20170322130936-07'00',D:20170322130936-07'00'
EMC 760-2017 PL678716 =- PL 6787-2016.pdf,Mauro Lopes,Administrator,,D:20170322130953-07'00',D:20170322130953-07'00'
EMC 761-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131608-07'00',D:20170322131608-07'00'
EMC 762-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131617-07'00',D:20170322131617-07'00'
EMC 763-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131625-07'00',D:20170322131625-07'00'
EMC 764-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131634-07'00',D:20170322131634-07'00'
EMC 765-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131643-07'00',D:20170322131643-07'00'
EMC 766-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131652-07'00',D:20170322131652-07'00'
EMC 767-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,ELIZABETE AUGUSTA,,D:20170322131709-07'00',D:20170322131709-07'00'
EMC 768-2017 PL678716 =- PL 6787-2016.pdf,Wellington Roberto,Jose Roberto da Nobrega Pereira,,D:20170322131639-07'00',D:20170322131639-07'00'
EMC 769-2017 PL678716 =- PL 6787-2016.pdf,Orlando Silva,Renan Kalil,,D:20170322131656-07'00',D:20170322131656-07'00'
EMC 770-2017 PL678716 =- PL 6787-2016.pdf,Orlando Silva,Angelo Fabiano Farias da Costa,,D:20170322131705-07'00',D:20170322131705-07'00'
EMC 771-2017 PL678716 =- PL 6787-2016.pdf,Orlando Silva,Jean Carmo Barbosa,,D:20170322131722-07'00',D:20170322131722-07'00'
EMC 772-2017 PL678716 =- PL 6787-2016.pdf,Orlando Silva,Renan Bernardi Kalil,,D:20170322131730-07'00',D:20170322131730-07'00'
EMC 773-2017 PL678716 =- PL 6787-2016.pdf,José Guimarães,Jaelson de Medeiros Dantas,,D:20170322131739-07'00',D:20170322131739-07'00'
EMC 774-2017 PL678716 =- PL 6787-2016.pdf,José Guimarães,Jaelson de Medeiros Dantas,,D:20170322131747-07'00',D:20170322131747-07'00'
EMC 775-2017 PL678716 =- PL 6787-2016.pdf,José Guimarães,Jaelson de Medeiros Dantas,,D:20170322131756-07'00',D:20170322131756-07'00'
EMC 776-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Valeria Da Silva,,D:20170322131804-07'00',D:20170322131804-07'00'
EMC 777-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Valeria Da Silva,,D:20170322131812-07'00',D:20170322131812-07'00'
EMC 778-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Amanda Galvão Ferreira Tabosa,,D:20170322132508-07'00',D:20170322132508-07'00'
EMC 779-2017 PL678716 =- PL 6787-2016.pdf,Laercio Oliveira,Valeria Da Silva,,D:20170322132517-07'00',D:20170322132517-07'00'
EMC 780-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2109/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135457-07'00',D:20170322135457-07'00'
EMC 781-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135506-07'00',D:20170322135506-07'00'
EMC 782-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2594/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135545-07'00',D:20170322135545-07'00'
EMC 783-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2594/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135554-07'00',D:20170322135554-07'00'
EMC 784-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135602-07'00',D:20170322135602-07'00'
EMC 785-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135611-07'00',D:20170322135611-07'00'
EMC 786-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135652-07'00',D:20170322135652-07'00'
EMC 787-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135700-07'00',D:20170322135700-07'00'
EMC 788-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135709-07'00',D:20170322135709-07'00'
EMC 789-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322140624-07'00',D:20170322140624-07'00'
EMC 790-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2589/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135758-07'00',D:20170322135758-07'00'
EMC 791-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135902-07'00',D:20170322135902-07'00'
EMC 792-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135911-07'00',D:20170322135911-07'00'
EMC 793-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322135920-07'00',D:20170322135920-07'00'
EMC 794-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322140717-07'00',D:20170322140717-07'00'
EMC 795-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2593/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322140726-07'00',D:20170322140726-07'00'
EMC 796-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Volia Cassar,,D:20170322140735-07'00',D:20170322140735-07'00'
EMC 797-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Volia Cassar,,D:20170322140743-07'00',D:20170322140743-07'00'
EMC 798-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Volia Cassar,,D:20170322140752-07'00',D:20170322140752-07'00'
EMC 799-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2589/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322140800-07'00',D:20170322140800-07'00'
EMC 800-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140808-07'00',D:20170322140808-07'00'
EMC 801-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140817-07'00',D:20170322140817-07'00'
EMC 802-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140611-07'00',D:20170322140611-07'00'
EMC 803-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140629-07'00',D:20170322140629-07'00'
EMC 804-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140637-07'00',D:20170322140637-07'00'
EMC 805-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140646-07'00',D:20170322140646-07'00'
EMC 806-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140655-07'00',D:20170322140655-07'00'
EMC 807-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140704-07'00',D:20170322140704-07'00'
EMC 808-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140712-07'00',D:20170322140712-07'00'
EMC 809-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140721-07'00',D:20170322140721-07'00'
EMC 810-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140730-07'00',D:20170322140730-07'00'
EMC 811-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140739-07'00',D:20170322140739-07'00'
EMC 812-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322140748-07'00',D:20170322140748-07'00'
EMC 813-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141438-07'00',D:20170322141438-07'00'
EMC 814-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141454-07'00',D:20170322141454-07'00'
EMC 815-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141503-07'00',D:20170322141503-07'00'
EMC 816-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141541-07'00',D:20170322141541-07'00'
EMC 817-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141550-07'00',D:20170322141550-07'00'
EMC 818-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141558-07'00',D:20170322141558-07'00'
EMC 819-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141607-07'00',D:20170322141607-07'00'
EMC 820-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141653-07'00',D:20170322141653-07'00'
EMC 821-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141701-07'00',D:20170322141701-07'00'
EMC 822-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141710-07'00',D:20170322141710-07'00'
EMC 823-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141756-07'00',D:20170322141756-07'00'
EMC 824-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141804-07'00',D:20170322141804-07'00'
EMC 825-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141812-07'00',D:20170322141812-07'00'
EMC 826-2017 PL678716 =- PL 6787-2016.pdf,Rômulo Gouveia,P_6394,,D:20170322141821-07'00',D:20170322141821-07'00'
EMC 827-2017 PL678716 =- PL 6787-2016.pdf,Benjamin Maranhão,Noel Damasceno Pereira,,D:20170322141859-07'00',D:20170322141859-07'00'
EMC 828-2017 PL678716 =- PL 6787-2016.pdf,Benjamin Maranhão,Noel Damasceno Pereira,,D:20170322141916-07'00',D:20170322141916-07'00'
EMC 829-2017 PL678716 =- PL 6787-2016.pdf,João Carlos Bacelar,Administrator,,D:20170322141925-07'00',D:20170322141925-07'00'
EMC 830-2017 PL678716 =- PL 6787-2016.pdf,João Carlos Bacelar,Administrator,,D:20170322141934-07'00',D:20170322141934-07'00'
EMC 831-2017 PL678716 =- PL 6787-2016.pdf,André Figueiredo,Elisangela Lacerda,,D:20170322142404-07'00',D:20170322142404-07'00'
EMC 832-2017 PL678716 =- PL 6787-2016.pdf,Mauro Pereira,MOD.CONLE.ST 3058/2017 - P_5675 - Beatriz Rezende Marques Costa,EMD ADI - Emenda Aditiva,D:20170322142412-07'00',D:20170322142412-07'00'
EMC 833-2017 PL678716 =- PL 6787-2016.pdf,Arnaldo Jordy,P_4189,,D:20170322142750-07'00',D:20170322142750-07'00'
EMC 834-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,SINDIFISCO,,D:20170322143454-07'00',D:20170322143454-07'00'
EMC 835-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,SINDIFISCO,,D:20170322143502-07'00',D:20170322143502-07'00'
EMC 836-2017 PL678716 =- PL 6787-2016.pdf,Major Olimpio,SINDIFISCO,,D:20170322143511-07'00',D:20170322143511-07'00'
EMC 837-2017 PL678716 =- PL 6787-2016.pdf,Marcos Soares,Silvia Seabra de Carvalho,,D:20170322144950-07'00',D:20170322144950-07'00'
EMC 838-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154600-07'00',D:20170322154600-07'00'
EMC 839-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154608-07'00',D:20170322154608-07'00'
EMC 840-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154616-07'00',D:20170322154616-07'00'
EMC 841-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154521-07'00',D:20170322154521-07'00'
EMC 842-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154530-07'00',D:20170322154530-07'00'
EMC 843-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154538-07'00',D:20170322154538-07'00'
EMC 844-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154547-07'00',D:20170322154547-07'00'
EMC 845-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154556-07'00',D:20170322154556-07'00'
EMC 846-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154651-07'00',D:20170322154651-07'00'
EMC 847-2017 PL678716 =- PL 6787-2016.pdf,Lelo Coimbra,Ricardo de Saboya Rocha Miranda,,D:20170322154708-07'00',D:20170322154708-07'00'
EMC 848-2017 PL678716 =- PL 6787-2016.pdf,Valdir Colatto,Adrelina da Silva Carvalho,,D:20170322154801-07'00',D:20170322154801-07'00'
EMC 849-2017 PL678716 =- PL 6787-2016.pdf,Célio Silveira,P_4189,,D:20170323152836-07'00',D:20170323152836-07'00'
EMC 850-2017 PL678716 =- PL 6787-2016.pdf,Jerônimo Goergen,Dep. Jeronimo Goergen,,D:20170327135848-07'00',D:20170327135848-07'00'
ESB 1 PL678716 =- SBT 1 PL678716 =- PL 6787-2016.pdf,Paulo Pereira da Silva,Cleiton Paiva Cabral Reges,,D:20170418072845-07'00',D:20170418072845-07'00'
